model,overall_accuracy_mean,overall_accuracy_std,overall_accuracy_min,overall_accuracy_max,processing_time_mean,processing_time_std,processing_time_min,processing_time_max,fields_extracted_mean,fields_matched_mean,throughput_docs_per_min,efficiency_score
InternVL3-NonQuantized-2B,68.89,24.61,40.0,92.86,13.14,12.07,6.31,44.6,10.44,8.44,4.57,314.83
InternVL3-Quantized-8B,69.52,30.41,20.0,100.0,53.24,57.99,22.99,205.81,9.56,8.33,1.13,78.56
Llama-3.2-Vision,77.62,28.61,40.0,100.0,11.76,7.97,7.72,32.43,11.0,9.67,5.1,395.86
